"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"2024205851431490005","Clavicular knew he got DANCEMOGGED beyond redemption after the NYC ASIAN MOGGER used his ultimate move the “KIM JONG GROOVE” 🤯💔 https://t.co/nOMUGEhMm9","en","Tweet","Clavicular Updates","Clav0Updates","19130","12","14","0","369","56","2026-02-18 14:34:17","https://x.com/Clav0Updates/status/2024205851431490005","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2024204654121279488/vid/avc1/1280x716/ByewkOHOEGxMgwqR.mp4?tag=21"
"2024203683500556610","@Clavicular0 https://t.co/LBhQkPXhdZ","qme","Reply","Clavicular Updates","Clav0Updates","2772","0","0","0","59","1","2026-02-18 14:25:40","https://x.com/Clav0Updates/status/2024203683500556610","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","animated_gif","https://video.twimg.com/tweet_video/HBdqhTDWwAAtWA4.mp4"
"2024185092936257735","@sneako https://t.co/SycQVp9I3r","qme","Reply","Clavicular Updates","Clav0Updates","7541","9","9","2","331","35","2026-02-18 13:11:48","https://x.com/Clav0Updates/status/2024185092936257735","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2024185035528523776/vid/avc1/1280x720/HBERt1fsZpHQAjxi.mp4?tag=21"
"2024181403919786127","Clavicular tells Piers Morgan if he ASCENDED his wife wouldn’t C*CK him 💀 https://t.co/hvntM05m1o","en","Tweet","Clavicular Updates","Clav0Updates","666121","188","439","87","9832","1858","2026-02-18 12:57:08","https://x.com/Clav0Updates/status/2024181403919786127","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2024180872732155904/vid/avc1/1280x720/MNO1a8iEEWw6yH3F.mp4?tag=21"
"2024180101303194004","Clavicular goes OFF on Piers Morgan after he started talking about ‘Clubocaust’ and PRESSES Piers for allegedly being on the island 💀

“Why the f*ck would you go to that island” https://t.co/kUIL8sxAEm","en","Tweet","Clavicular Updates","Clav0Updates","14326","16","20","0","418","68","2026-02-18 12:51:58","https://x.com/Clav0Updates/status/2024180101303194004","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2024179311637307392/vid/avc1/1280x720/DZJLKFTFwD-SFTTZ.mp4?tag=21"
"2024179275373449260","Clavicular DEFENDS Nick Fuentes saying he’s a v*thin on Piers Morgan and questions if he would try and ask that same question if he was interviewing someone from the Islamic faith 😳 https://t.co/uTLEzwnPNA","en","Tweet","Clavicular Updates","Clav0Updates","64176","24","54","2","1469","314","2026-02-18 12:48:41","https://x.com/Clav0Updates/status/2024179275373449260","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2024178623771459584/vid/avc1/1280x720/AreeK-qnutBfgzOH.mp4?tag=21"
"2024176727975514486","Clavicular explains to Piers Morgan what being on a diet means 😭
 https://t.co/QAVsfu9Ssg","en","Tweet","Clavicular Updates","Clav0Updates","14769","10","13","0","337","63","2026-02-18 12:38:33","https://x.com/Clav0Updates/status/2024176727975514486","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2024176016504020992/vid/avc1/1280x720/0I7PFctJMvj8StSc.mp4?tag=21"
"2024008652080742841","Brianna Chickenfry questions why Logan Paul &amp; Mike Maljak haven’t had Clavicular on his podcast yet and they start talking about the historical Framemogging incident that took place in Asu 😮👀 

“Where were you when Clav got brutally framemogged” https://t.co/1DqHN9BI9i","en","Tweet","Clavicular Updates","Clav0Updates","60911","8","7","2","657","148","2026-02-18 01:30:41","https://x.com/Clav0Updates/status/2024008652080742841","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2023991883224281090/vid/avc1/1268x720/rFNxunMnzc_HgiPf.mp4?tag=21"
"2023979492620788108","Clavicular tells Adam Friedland that Doctors are COPE &amp; says that being a doctor will never elevate you the same way looks would 😭👀

“…just to make a wage that’s not really going to beat any sort of looks disparity” https://t.co/Z8yURlgVix","en","Tweet","Clavicular Updates","Clav0Updates","24512","8","5","0","352","67","2026-02-17 23:34:49","https://x.com/Clav0Updates/status/2023979492620788108","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2023977799086735360/vid/avc1/974x720/TKMYGxcPsStbQ7RQ.mp4?tag=21"
"2023972755700367646","Clavicular made ASU frat leader Varis REPENT for his brutal FRAMEMOG by bringing him to Miami and making him sit in silence while Clav JESTERMAXXED 😳😭
 https://t.co/7bIgvwIbwS","en","Tweet","Clavicular Updates","Clav0Updates","10429","6","17","0","583","117","2026-02-17 23:08:03","https://x.com/Clav0Updates/status/2023972755700367646","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2023971440505352192/vid/avc1/1280x720/bJRbYfGD980Y265Y.mp4?tag=21"
